id,question_ki,suggested_fix,english_gloss,topic,est_seconds,dialect_note,status,reviewer
Q047,Ndũhe mĩgambo ĩtatũ cia ũrĩa wakoragwo mũno.,,Give three words that describe you well.,bio,7,,NEEDS_REVIEW,
Q048,Mĩhianano ya ũtonga na thĩnwa nĩ ĩrĩa mũtugo-inĩ?,,What customs relate to wealth and poverty?,values,10,,NEEDS_REVIEW,
Q049,Ũigana atĩa na andũ maita rĩa ũhoro wa mĩgambo ya wira?,,How do you communicate at work?,work,9,,NEEDS_REVIEW,
Q050,Rũgano rwa kũgũa na kũhimĩrĩra rũhe ũgima.,,Tell about a challenge you overcame.,values,9,,NEEDS_REVIEW,
Q051,Ndũgĩte ũhoro wa mĩhĩrĩga cianyu na harĩa ciikaraga.,,Describe your sub-clans and where they live.,genealogy,10,,NEEDS_REVIEW,
Q052,Ngemi cia kũrutwo na ũtugo wa arĩa marugi nĩ atĩa?,,What dances/rites do initiates perform?,rites,10,,NEEDS_REVIEW,
Q053,Ndũhe watho ũrĩa mwarutwo mũno na atheru.,,Share a lesson elders taught you.,values,8,,NEEDS_REVIEW,
Q054,Ũhoro wa kĩrĩkanĩro kĩa nyũmba nĩ atĩa?,,What is your family covenant or motto?,values,8,,NEEDS_REVIEW,
Q055,Nĩ atĩa mũrĩ kũkũrũka kũrĩ andũ a nyamũrũri?,,How do you relate with people of other tribes?,society,10,,NEEDS_REVIEW,
Q056,Ndũgĩte ũhoro wa ithuĩ na kũrehana wendo.,,Tell how your community shows love/kindness.,values,9,,NEEDS_REVIEW,
Q057,Ũmenyaga atĩa ũhoro wa mbere ya nyũmba na mbere ya Ngai?,,What do you consider before family and before God?,faith,10,,NEEDS_REVIEW,
Q058,Rĩu mbarathi cia gĩkũyũ ciihũthagia atĩa rĩ?,,How do Kikuyu names carry meaning today?,names,9,,NEEDS_REVIEW,
Q059,Nĩ kĩ ũrĩa wendaga kũhoya mbarathi ya mwana?,,What do you pray over a child’s name?,names,9,,NEEDS_REVIEW,
Q060,Ndũhe wendo wakwa wa rũgano rũrĩa wĩkagwo nĩ andũ ageni.,,Share a favorite story told by visitors.,culture,10,,NEEDS_REVIEW,
